2014-08-01 20:15:12 upgrade base-passwd:armhf 3.5.26 3.5.26
2014-08-01 20:15:12 status half-configured base-passwd:armhf 3.5.26
2014-08-01 20:15:12 status unpacked base-passwd:armhf 3.5.26
2014-08-01 20:15:12 status half-installed base-passwd:armhf 3.5.26
2014-08-01 20:15:12 status half-installed base-passwd:armhf 3.5.26
2014-08-01 20:15:12 status unpacked base-passwd:armhf 3.5.26
2014-08-01 20:15:12 status unpacked base-passwd:armhf 3.5.26
2014-08-01 20:15:12 install bash:armhf <none> 4.2+dfsg-0.1
2014-08-01 20:15:12 status half-installed bash:armhf 4.2+dfsg-0.1
2014-08-01 20:15:12 status unpacked bash:armhf 4.2+dfsg-0.1
2014-08-01 20:15:12 status unpacked bash:armhf 4.2+dfsg-0.1
2014-08-01 20:15:13 install libbz2-1.0:armhf <none> 1.0.6-4
2014-08-01 20:15:13 status half-installed libbz2-1.0:armhf 1.0.6-4
2014-08-01 20:15:13 status unpacked libbz2-1.0:armhf 1.0.6-4
2014-08-01 20:15:13 status unpacked libbz2-1.0:armhf 1.0.6-4
2014-08-01 20:15:13 install coreutils:armhf <none> 8.13-3.5
2014-08-01 20:15:13 status half-installed coreutils:armhf 8.13-3.5
2014-08-01 20:15:14 status unpacked coreutils:armhf 8.13-3.5
2014-08-01 20:15:14 status unpacked coreutils:armhf 8.13-3.5
2014-08-01 20:15:14 install dash:armhf <none> 0.5.7-3
2014-08-01 20:15:14 status half-installed dash:armhf 0.5.7-3
2014-08-01 20:15:14 status unpacked dash:armhf 0.5.7-3
2014-08-01 20:15:15 status unpacked dash:armhf 0.5.7-3
2014-08-01 20:15:15 install libdb5.1:armhf <none> 5.1.29-5
2014-08-01 20:15:15 status half-installed libdb5.1:armhf 5.1.29-5
2014-08-01 20:15:15 status unpacked libdb5.1:armhf 5.1.29-5
2014-08-01 20:15:15 status unpacked libdb5.1:armhf 5.1.29-5
2014-08-01 20:15:15 upgrade debconf:all 1.5.49 1.5.49
2014-08-01 20:15:15 status half-configured debconf:all 1.5.49
2014-08-01 20:15:15 status unpacked debconf:all 1.5.49
2014-08-01 20:15:15 status half-installed debconf:all 1.5.49
2014-08-01 20:15:16 status half-installed debconf:all 1.5.49
2014-08-01 20:15:16 status unpacked debconf:all 1.5.49
2014-08-01 20:15:16 status unpacked debconf:all 1.5.49
2014-08-01 20:15:16 install debconf-i18n:all <none> 1.5.49
2014-08-01 20:15:16 status half-installed debconf-i18n:all 1.5.49
2014-08-01 20:15:16 status unpacked debconf-i18n:all 1.5.49
2014-08-01 20:15:16 status unpacked debconf-i18n:all 1.5.49
2014-08-01 20:15:16 install debianutils:armhf <none> 4.3.2
2014-08-01 20:15:16 status half-installed debianutils:armhf 4.3.2
2014-08-01 20:15:17 status unpacked debianutils:armhf 4.3.2
2014-08-01 20:15:17 status unpacked debianutils:armhf 4.3.2
2014-08-01 20:15:17 install diffutils:armhf <none> 1:3.2-6
2014-08-01 20:15:17 status half-installed diffutils:armhf 1:3.2-6
2014-08-01 20:15:17 status unpacked diffutils:armhf 1:3.2-6
2014-08-01 20:15:17 status unpacked diffutils:armhf 1:3.2-6
2014-08-01 20:15:17 upgrade dpkg:armhf 1.16.15 1.16.15
2014-08-01 20:15:17 status half-configured dpkg:armhf 1.16.15
2014-08-01 20:15:17 status unpacked dpkg:armhf 1.16.15
2014-08-01 20:15:17 status half-installed dpkg:armhf 1.16.15
2014-08-01 20:15:18 status half-installed dpkg:armhf 1.16.15
2014-08-01 20:15:18 status unpacked dpkg:armhf 1.16.15
2014-08-01 20:15:18 status unpacked dpkg:armhf 1.16.15
2014-08-01 20:15:18 install e2fslibs:armhf <none> 1.42.5-1.1
2014-08-01 20:15:18 status half-installed e2fslibs:armhf 1.42.5-1.1
2014-08-01 20:15:18 status unpacked e2fslibs:armhf 1.42.5-1.1
2014-08-01 20:15:18 status unpacked e2fslibs:armhf 1.42.5-1.1
2014-08-01 20:15:18 install e2fsprogs:armhf <none> 1.42.5-1.1
2014-08-01 20:15:18 status half-installed e2fsprogs:armhf 1.42.5-1.1
2014-08-01 20:15:19 status unpacked e2fsprogs:armhf 1.42.5-1.1
2014-08-01 20:15:19 status unpacked e2fsprogs:armhf 1.42.5-1.1
2014-08-01 20:15:19 install libcomerr2:armhf <none> 1.42.5-1.1
2014-08-01 20:15:19 status half-installed libcomerr2:armhf 1.42.5-1.1
2014-08-01 20:15:19 status unpacked libcomerr2:armhf 1.42.5-1.1
2014-08-01 20:15:19 status unpacked libcomerr2:armhf 1.42.5-1.1
2014-08-01 20:15:19 install libss2:armhf <none> 1.42.5-1.1
2014-08-01 20:15:19 status half-installed libss2:armhf 1.42.5-1.1
2014-08-01 20:15:19 status unpacked libss2:armhf 1.42.5-1.1
2014-08-01 20:15:19 status unpacked libss2:armhf 1.42.5-1.1
2014-08-01 20:15:19 install libc-bin:armhf <none> 2.13-38+deb7u2
2014-08-01 20:15:19 status half-installed libc-bin:armhf 2.13-38+deb7u2
2014-08-01 20:15:20 status unpacked libc-bin:armhf 2.13-38+deb7u2
2014-08-01 20:15:20 status unpacked libc-bin:armhf 2.13-38+deb7u2
2014-08-01 20:15:20 upgrade libc6:armhf 2.13-38+deb7u2 2.13-38+deb7u2
2014-08-01 20:15:20 status half-configured libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:20 status unpacked libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:20 status half-installed libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:24 status half-installed libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:24 status unpacked libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:24 status unpacked libc6:armhf 2.13-38+deb7u2
2014-08-01 20:15:24 install multiarch-support:armhf <none> 2.13-38+deb7u2
2014-08-01 20:15:24 status half-installed multiarch-support:armhf 2.13-38+deb7u2
2014-08-01 20:15:24 status unpacked multiarch-support:armhf 2.13-38+deb7u2
2014-08-01 20:15:24 status unpacked multiarch-support:armhf 2.13-38+deb7u2
2014-08-01 20:15:24 install findutils:armhf <none> 4.4.2-4
2014-08-01 20:15:24 status half-installed findutils:armhf 4.4.2-4
2014-08-01 20:15:24 status unpacked findutils:armhf 4.4.2-4
2014-08-01 20:15:24 status unpacked findutils:armhf 4.4.2-4
2014-08-01 20:15:25 install gcc-4.7-base:armhf <none> 4.7.2-5
2014-08-01 20:15:25 status half-installed gcc-4.7-base:armhf 4.7.2-5
2014-08-01 20:15:25 status unpacked gcc-4.7-base:armhf 4.7.2-5
2014-08-01 20:15:25 status unpacked gcc-4.7-base:armhf 4.7.2-5
2014-08-01 20:15:25 install libgcc1:armhf <none> 1:4.7.2-5
2014-08-01 20:15:25 status half-installed libgcc1:armhf 1:4.7.2-5
2014-08-01 20:15:25 status unpacked libgcc1:armhf 1:4.7.2-5
2014-08-01 20:15:25 status unpacked libgcc1:armhf 1:4.7.2-5
2014-08-01 20:15:25 install grep:armhf <none> 2.12-2
2014-08-01 20:15:25 status half-installed grep:armhf 2.12-2
2014-08-01 20:15:25 status unpacked grep:armhf 2.12-2
2014-08-01 20:15:25 status unpacked grep:armhf 2.12-2
2014-08-01 20:15:25 install gzip:armhf <none> 1.5-1.1
2014-08-01 20:15:25 status half-installed gzip:armhf 1.5-1.1
2014-08-01 20:15:26 status unpacked gzip:armhf 1.5-1.1
2014-08-01 20:15:26 status unpacked gzip:armhf 1.5-1.1
2014-08-01 20:15:26 install hostname:armhf <none> 3.11
2014-08-01 20:15:26 status half-installed hostname:armhf 3.11
2014-08-01 20:15:26 status unpacked hostname:armhf 3.11
2014-08-01 20:15:26 status unpacked hostname:armhf 3.11
2014-08-01 20:15:26 install insserv:armhf <none> 1.14.0-5
2014-08-01 20:15:26 status half-installed insserv:armhf 1.14.0-5
2014-08-01 20:15:26 status unpacked insserv:armhf 1.14.0-5
2014-08-01 20:15:26 status unpacked insserv:armhf 1.14.0-5
2014-08-01 20:15:26 install liblocale-gettext-perl:armhf <none> 1.05-7+b3
2014-08-01 20:15:26 status half-installed liblocale-gettext-perl:armhf 1.05-7+b3
2014-08-01 20:15:26 status unpacked liblocale-gettext-perl:armhf 1.05-7+b3
2014-08-01 20:15:26 status unpacked liblocale-gettext-perl:armhf 1.05-7+b3
2014-08-01 20:15:27 install libselinux1:armhf <none> 2.1.9-5
2014-08-01 20:15:27 status half-installed libselinux1:armhf 2.1.9-5
2014-08-01 20:15:27 status unpacked libselinux1:armhf 2.1.9-5
2014-08-01 20:15:27 status unpacked libselinux1:armhf 2.1.9-5
2014-08-01 20:15:27 install libsemanage-common:all <none> 2.1.6-6
2014-08-01 20:15:27 status half-installed libsemanage-common:all 2.1.6-6
2014-08-01 20:15:27 status unpacked libsemanage-common:all 2.1.6-6
2014-08-01 20:15:27 status unpacked libsemanage-common:all 2.1.6-6
2014-08-01 20:15:27 install libsemanage1:armhf <none> 2.1.6-6
2014-08-01 20:15:27 status half-installed libsemanage1:armhf 2.1.6-6
2014-08-01 20:15:27 status unpacked libsemanage1:armhf 2.1.6-6
2014-08-01 20:15:27 status unpacked libsemanage1:armhf 2.1.6-6
2014-08-01 20:15:27 install libsepol1:armhf <none> 2.1.4-3
2014-08-01 20:15:27 status half-installed libsepol1:armhf 2.1.4-3
2014-08-01 20:15:27 status unpacked libsepol1:armhf 2.1.4-3
2014-08-01 20:15:27 status unpacked libsepol1:armhf 2.1.4-3
2014-08-01 20:15:28 install libtext-charwidth-perl:armhf <none> 0.04-7+b2
2014-08-01 20:15:28 status half-installed libtext-charwidth-perl:armhf 0.04-7+b2
2014-08-01 20:15:28 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2014-08-01 20:15:28 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2014-08-01 20:15:28 install libtext-iconv-perl:armhf <none> 1.7-5
2014-08-01 20:15:28 status half-installed libtext-iconv-perl:armhf 1.7-5
2014-08-01 20:15:28 status unpacked libtext-iconv-perl:armhf 1.7-5
2014-08-01 20:15:28 status unpacked libtext-iconv-perl:armhf 1.7-5
2014-08-01 20:15:28 install libtext-wrapi18n-perl:all <none> 0.06-7
2014-08-01 20:15:28 status half-installed libtext-wrapi18n-perl:all 0.06-7
2014-08-01 20:15:28 status unpacked libtext-wrapi18n-perl:all 0.06-7
2014-08-01 20:15:28 status unpacked libtext-wrapi18n-perl:all 0.06-7
2014-08-01 20:15:28 install lsb-base:all <none> 4.1+Debian8+deb7u1
2014-08-01 20:15:28 status half-installed lsb-base:all 4.1+Debian8+deb7u1
2014-08-01 20:15:28 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-08-01 20:15:28 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-08-01 20:15:29 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2014-08-01 20:15:29 status half-configured mawk:armhf 1.3.3-17
2014-08-01 20:15:29 status unpacked mawk:armhf 1.3.3-17
2014-08-01 20:15:29 status half-installed mawk:armhf 1.3.3-17
2014-08-01 20:15:29 status half-installed mawk:armhf 1.3.3-17
2014-08-01 20:15:29 status unpacked mawk:armhf 1.3.3-17
2014-08-01 20:15:29 status unpacked mawk:armhf 1.3.3-17
2014-08-01 20:15:29 install libncurses5:armhf <none> 5.9-10
2014-08-01 20:15:29 status half-installed libncurses5:armhf 5.9-10
2014-08-01 20:15:29 status unpacked libncurses5:armhf 5.9-10
2014-08-01 20:15:29 status unpacked libncurses5:armhf 5.9-10
2014-08-01 20:15:29 install libtinfo5:armhf <none> 5.9-10
2014-08-01 20:15:29 status half-installed libtinfo5:armhf 5.9-10
2014-08-01 20:15:29 status unpacked libtinfo5:armhf 5.9-10
2014-08-01 20:15:29 status unpacked libtinfo5:armhf 5.9-10
2014-08-01 20:15:30 install ncurses-base:all <none> 5.9-10
2014-08-01 20:15:30 status half-installed ncurses-base:all 5.9-10
2014-08-01 20:15:30 status unpacked ncurses-base:all 5.9-10
2014-08-01 20:15:30 status unpacked ncurses-base:all 5.9-10
2014-08-01 20:15:30 install ncurses-bin:armhf <none> 5.9-10
2014-08-01 20:15:30 status half-installed ncurses-bin:armhf 5.9-10
2014-08-01 20:15:30 status unpacked ncurses-bin:armhf 5.9-10
2014-08-01 20:15:30 status unpacked ncurses-bin:armhf 5.9-10
2014-08-01 20:15:30 install libpam-modules:armhf <none> 1.1.3-7.1
2014-08-01 20:15:30 status half-installed libpam-modules:armhf 1.1.3-7.1
2014-08-01 20:15:32 status unpacked libpam-modules:armhf 1.1.3-7.1
2014-08-01 20:15:32 status unpacked libpam-modules:armhf 1.1.3-7.1
2014-08-01 20:15:32 install libpam-modules-bin:armhf <none> 1.1.3-7.1
2014-08-01 20:15:32 status half-installed libpam-modules-bin:armhf 1.1.3-7.1
2014-08-01 20:15:32 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2014-08-01 20:15:32 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2014-08-01 20:15:32 install libpam-runtime:all <none> 1.1.3-7.1
2014-08-01 20:15:32 status half-installed libpam-runtime:all 1.1.3-7.1
2014-08-01 20:15:33 status unpacked libpam-runtime:all 1.1.3-7.1
2014-08-01 20:15:33 status unpacked libpam-runtime:all 1.1.3-7.1
2014-08-01 20:15:33 install libpam0g:armhf <none> 1.1.3-7.1
2014-08-01 20:15:33 status half-installed libpam0g:armhf 1.1.3-7.1
2014-08-01 20:15:33 status unpacked libpam0g:armhf 1.1.3-7.1
2014-08-01 20:15:33 status unpacked libpam0g:armhf 1.1.3-7.1
2014-08-01 20:15:33 upgrade perl-base:armhf 5.14.2-21+deb7u1 5.14.2-21+deb7u1
2014-08-01 20:15:33 status half-configured perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:33 status unpacked perl-base:armhf 5.14.2-21+deb7u1
2014-08-01 20:15:33 status half-installed perl-base:armhf 5.14.2-21+deb7u1
